"Country or Area","Year(s)","Variant","Value"
"Jamaica","2101","Medium",""
"Jamaica","2100","Medium","3.9521"
"Jamaica","2099","Medium","3.9874"
"Jamaica","2098","Medium","4.018"
"Jamaica","2097","Medium","4.0568"
"Jamaica","2096","Medium","4.0931"
"Jamaica","2095","Medium","4.1329"
"Jamaica","2094","Medium","4.1677"
"Jamaica","2093","Medium","4.21"
"Jamaica","2092","Medium","4.2456"
"Jamaica","2091","Medium","4.2905"
"Jamaica","2090","Medium","4.3272"
"Jamaica","2089","Medium","4.3678"
"Jamaica","2088","Medium","4.4214"
"Jamaica","2087","Medium","4.474"
"Jamaica","2086","Medium","4.5196"
"Jamaica","2085","Medium","4.5747"
"Jamaica","2084","Medium","4.624"
"Jamaica","2083","Medium","4.6783"
"Jamaica","2082","Medium","4.7282"
"Jamaica","2081","Medium","4.7784"
"Jamaica","2080","Medium","4.8309"
"Jamaica","2079","Medium","4.881"
"Jamaica","2078","Medium","4.9383"
"Jamaica","2077","Medium","4.9932"
"Jamaica","2076","Medium","5.054"
"Jamaica","2075","Medium","5.1133"
"Jamaica","2074","Medium","5.182"
"Jamaica","2073","Medium","5.2537"
"Jamaica","2072","Medium","5.3184"
"Jamaica","2071","Medium","5.397"
"Jamaica","2070","Medium","5.4749"
"Jamaica","2069","Medium","5.5414"
"Jamaica","2068","Medium","5.6036"
"Jamaica","2067","Medium","5.6727"
"Jamaica","2066","Medium","5.7474"
"Jamaica","2065","Medium","5.809"
"Jamaica","2064","Medium","5.8924"
"Jamaica","2063","Medium","5.9631"
"Jamaica","2062","Medium","6.0346"
"Jamaica","2061","Medium","6.1098"
"Jamaica","2060","Medium","6.1663"
"Jamaica","2059","Medium","6.2609"
"Jamaica","2058","Medium","6.3615"
"Jamaica","2057","Medium","6.4912"
"Jamaica","2056","Medium","6.6012"
"Jamaica","2055","Medium","6.7304"
"Jamaica","2054","Medium","6.8483"
"Jamaica","2053","Medium","6.9839"
"Jamaica","2052","Medium","7.1103"
"Jamaica","2051","Medium","7.2506"
"Jamaica","2050","Medium","7.3905"
"Jamaica","2049","Medium","7.5205"
"Jamaica","2048","Medium","7.6582"
"Jamaica","2047","Medium","7.8071"
"Jamaica","2046","Medium","7.9636"
"Jamaica","2045","Medium","8.1011"
"Jamaica","2044","Medium","8.257"
"Jamaica","2043","Medium","8.407"
"Jamaica","2042","Medium","8.5848"
"Jamaica","2041","Medium","8.7577"
"Jamaica","2040","Medium","8.9297"
"Jamaica","2039","Medium","9.1241"
"Jamaica","2038","Medium","9.3026"
"Jamaica","2037","Medium","9.4856"
"Jamaica","2036","Medium","9.6692"
"Jamaica","2035","Medium","9.8767"
"Jamaica","2034","Medium","10.0766"
"Jamaica","2033","Medium","10.2777"
"Jamaica","2032","Medium","10.4994"
"Jamaica","2031","Medium","10.7194"
"Jamaica","2030","Medium","10.9428"
"Jamaica","2029","Medium","11.1693"
"Jamaica","2028","Medium","11.409"
"Jamaica","2027","Medium","11.6575"
"Jamaica","2026","Medium","11.9119"
"Jamaica","2025","Medium","12.1617"
"Jamaica","2024","Medium","12.4183"
"Jamaica","2023","Medium","12.6957"
"Jamaica","2022","Medium","13.5004"
"Jamaica","2021","Medium","13.3336"
"Jamaica","2020","Medium","13.6889"
"Jamaica","2019","Medium","14.1973"
"Jamaica","2018","Medium","14.4613"
"Jamaica","2017","Medium","14.6021"
"Jamaica","2016","Medium","15.0575"
"Jamaica","2015","Medium","15.5483"
"Jamaica","2014","Medium","16.0094"
"Jamaica","2013","Medium","16.5092"
"Jamaica","2012","Medium","17.0316"
"Jamaica","2011","Medium","17.5363"
"Jamaica","2010","Medium","18.0813"
"Jamaica","2009","Medium","18.4763"
"Jamaica","2008","Medium","18.938"
"Jamaica","2007","Medium","19.2708"
"Jamaica","2006","Medium","19.6138"
"Jamaica","2005","Medium","19.9605"
"Jamaica","2004","Medium","20.3251"
"Jamaica","2003","Medium","20.6783"
"Jamaica","2002","Medium","21.2395"
"Jamaica","2001","Medium","21.9343"
"Jamaica","2000","Medium","22.2262"
"Jamaica","1999","Medium","22.879"
"Jamaica","1998","Medium","23.564"
"Jamaica","1997","Medium","24.3312"
"Jamaica","1996","Medium","25.0999"
"Jamaica","1995","Medium","25.911"
"Jamaica","1994","Medium","26.791"
"Jamaica","1993","Medium","27.7057"
"Jamaica","1992","Medium","28.5252"
"Jamaica","1991","Medium","29.5321"
"Jamaica","1990","Medium","30.3858"
"Jamaica","1989","Medium","31.3215"
"Jamaica","1988","Medium","32.4842"
"Jamaica","1987","Medium","33.2971"
"Jamaica","1986","Medium","34.6506"
"Jamaica","1985","Medium","35.2782"
"Jamaica","1984","Medium","36.3249"
"Jamaica","1983","Medium","37.4262"
"Jamaica","1982","Medium","38.5756"
"Jamaica","1981","Medium","39.7243"
"Jamaica","1980","Medium","41.0186"
"Jamaica","1979","Medium","42.8064"
"Jamaica","1978","Medium","43.862"
"Jamaica","1977","Medium","45.2145"
"Jamaica","1976","Medium","46.569"
"Jamaica","1975","Medium","48.1882"
"Jamaica","1974","Medium","49.877"
"Jamaica","1973","Medium","51.7759"
"Jamaica","1972","Medium","53.8045"
"Jamaica","1971","Medium","55.641"
"Jamaica","1970","Medium","57.4381"
"Jamaica","1969","Medium","59.3363"
"Jamaica","1968","Medium","61.281"
"Jamaica","1967","Medium","63.4313"
"Jamaica","1966","Medium","65.637"
"Jamaica","1965","Medium","67.9988"
"Jamaica","1964","Medium","70.4772"
"Jamaica","1963","Medium","73.2285"
"Jamaica","1962","Medium","76.0335"
"Jamaica","1961","Medium","79.2723"
"Jamaica","1960","Medium","82.7582"
"Jamaica","1959","Medium","86.5058"
"Jamaica","1958","Medium","90.5329"
"Jamaica","1957","Medium","94.7681"
"Jamaica","1956","Medium","99.1836"
"Jamaica","1955","Medium","103.7938"
"Jamaica","1954","Medium","108.7852"
"Jamaica","1953","Medium","113.8978"
"Jamaica","1952","Medium","119.2148"
"Jamaica","1951","Medium","125.9382"
"Jamaica","1950","Medium","127.742"

